2024-09-24 21:27:28,556 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Configure stats pid to 18664
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Loading settings from C:\Users\thoma\.config\wandb\settings
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Loading settings from c:\Users\thoma\Documents\GitHub\learn-ligthning\01_MNIST\wandb\settings
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-24 21:27:28,557 INFO    MainThread:18664 [wandb_init.py:_log_setup():532] Logging user logs to c:\Users\thoma\Documents\GitHub\learn-ligthning\01_MNIST\wandb\run-20240924_212728-f926djks\logs\debug.log
2024-09-24 21:27:28,558 INFO    MainThread:18664 [wandb_init.py:_log_setup():533] Logging internal logs to c:\Users\thoma\Documents\GitHub\learn-ligthning\01_MNIST\wandb\run-20240924_212728-f926djks\logs\debug-internal.log
2024-09-24 21:27:28,558 INFO    MainThread:18664 [wandb_init.py:init():616] calling init triggers
2024-09-24 21:27:28,558 INFO    MainThread:18664 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-09-24 21:27:28,558 INFO    MainThread:18664 [wandb_init.py:init():641] re-initializing run, found existing run on stack: k5pigkab
2024-09-24 21:27:28,559 INFO    MainThread:18664 [wandb_run.py:_finish():2158] finishing run th-ausserer-personal-use/my-awesome-project/k5pigkab
2024-09-24 21:27:28,561 INFO    MainThread:18664 [jupyter.py:save_history():459] not saving jupyter history
2024-09-24 21:27:28,561 INFO    MainThread:18664 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-09-24 21:27:28,561 INFO    MainThread:18664 [wandb_init.py:_jupyter_teardown():460] cleaning up jupyter logic
2024-09-24 21:27:28,561 INFO    MainThread:18664 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-24 21:27:28,561 INFO    MainThread:18664 [wandb_run.py:_restore():2404] restore
2024-09-24 21:27:28,561 INFO    MainThread:18664 [wandb_run.py:_restore():2410] restore done
2024-09-24 21:27:31,255 INFO    MainThread:18664 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-24 21:27:31,255 INFO    MainThread:18664 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-24 21:27:31,255 INFO    MainThread:18664 [wandb_run.py:_footer_sync_info():3996] logging synced files
2024-09-24 21:27:31,306 INFO    MainThread:18664 [wandb_init.py:init():666] starting backend
2024-09-24 21:27:31,306 INFO    MainThread:18664 [wandb_init.py:init():670] setting up manager
2024-09-24 21:27:31,311 INFO    MainThread:18664 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-24 21:27:31,311 INFO    MainThread:18664 [wandb_init.py:init():678] backend started and connected
2024-09-24 21:27:31,318 INFO    MainThread:18664 [wandb_run.py:_label_probe_notebook():1340] probe notebook
2024-09-24 21:27:31,319 INFO    MainThread:18664 [wandb_init.py:init():773] updated telemetry
2024-09-24 21:27:31,320 INFO    MainThread:18664 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-24 21:27:31,621 INFO    MainThread:18664 [wandb_init.py:init():857] starting run threads in backend
2024-09-24 21:27:32,170 INFO    MainThread:18664 [wandb_run.py:_console_start():2459] atexit reg
2024-09-24 21:27:32,171 INFO    MainThread:18664 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-24 21:27:32,171 INFO    MainThread:18664 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-24 21:27:32,171 INFO    MainThread:18664 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-24 21:27:32,172 INFO    MainThread:18664 [wandb_init.py:init():900] run started, returning control to user process
2024-09-24 21:27:32,173 INFO    MainThread:18664 [wandb_run.py:_finish():2158] finishing run th-ausserer-personal-use/uncategorized/f926djks
2024-09-24 21:27:32,174 INFO    MainThread:18664 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-24 21:27:32,174 INFO    MainThread:18664 [wandb_run.py:_restore():2404] restore
2024-09-24 21:27:32,174 INFO    MainThread:18664 [wandb_run.py:_restore():2410] restore done
2024-09-24 21:27:34,955 INFO    MainThread:18664 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-24 21:27:34,955 INFO    MainThread:18664 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-24 21:27:35,123 INFO    MainThread:18664 [wandb_run.py:_footer_sync_info():3996] logging synced files
