2024-09-28 10:33:04,809 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-28 10:33:04,813 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Configure stats pid to 14448
2024-09-28 10:33:04,813 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Loading settings from C:\Users\thoma\.config\wandb\settings
2024-09-28 10:33:04,813 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Loading settings from c:\Users\thoma\Documents\GitHub\learn-ligthning\02_MNIST_PY\wandb\settings
2024-09-28 10:33:04,813 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-28 10:33:04,813 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:_log_setup():532] Logging user logs to .\wandb\run-20240928_103304-6w0dh1d1\logs\debug.log
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:_log_setup():533] Logging internal logs to .\wandb\run-20240928_103304-6w0dh1d1\logs\debug-internal.log
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:_jupyter_setup():478] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001B30E00EBD0>
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:init():616] calling init triggers
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:init():666] starting backend
2024-09-28 10:33:04,814 INFO    MainThread:14448 [wandb_init.py:init():670] setting up manager
2024-09-28 10:33:04,814 INFO    MainThread:14448 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-28 10:33:04,821 INFO    MainThread:14448 [wandb_init.py:init():678] backend started and connected
2024-09-28 10:33:04,829 INFO    MainThread:14448 [wandb_run.py:_label_probe_notebook():1340] probe notebook
2024-09-28 10:33:04,829 INFO    MainThread:14448 [wandb_init.py:init():773] updated telemetry
2024-09-28 10:33:04,830 INFO    MainThread:14448 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-28 10:33:05,266 INFO    MainThread:14448 [wandb_init.py:init():857] starting run threads in backend
2024-09-28 10:33:05,852 INFO    MainThread:14448 [wandb_run.py:_console_start():2459] atexit reg
2024-09-28 10:33:05,852 INFO    MainThread:14448 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-28 10:33:05,853 INFO    MainThread:14448 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-28 10:33:05,853 INFO    MainThread:14448 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-28 10:33:05,857 INFO    MainThread:14448 [wandb_init.py:init():900] run started, returning control to user process
2024-09-28 10:33:05,858 INFO    MainThread:14448 [wandb_run.py:_config_callback():1388] config_cb None None {'BATCH_SIZE': 64, 'NUM_WORKERS': 4, 'INPUT_SIZE': 784, 'NUM_CLASSES': 10, 'LEARNING_RATE': 0.001, 'DROPOUT_RATE': 0.2, 'MAX_EPOCHS': 25, 'PROJECT': 'MNIST'}
2024-09-28 10:33:05,858 INFO    MainThread:14448 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-09-28 10:33:05,858 INFO    MainThread:14448 [wandb_init.py:_pause_backend():443] pausing backend
2024-09-28 10:33:05,862 INFO    MainThread:14448 [wandb_init.py:_resume_backend():448] resuming backend
2024-09-28 10:33:06,503 INFO    MainThread:14448 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-09-28 10:33:06,503 INFO    MainThread:14448 [wandb_init.py:_pause_backend():443] pausing backend
2024-09-28 10:33:26,865 INFO    MainThread:14448 [wandb_init.py:_resume_backend():448] resuming backend
2024-09-28 10:36:25,251 INFO    MainThread:14448 [wandb_run.py:_finish():2158] finishing run th-ausserer-personal-use/MNIST/6w0dh1d1
2024-09-28 10:36:25,252 INFO    MainThread:14448 [jupyter.py:save_history():459] not saving jupyter history
2024-09-28 10:36:25,252 INFO    MainThread:14448 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-09-28 10:36:25,252 INFO    MainThread:14448 [wandb_init.py:_jupyter_teardown():460] cleaning up jupyter logic
2024-09-28 10:36:25,252 INFO    MainThread:14448 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-28 10:36:25,252 INFO    MainThread:14448 [wandb_run.py:_restore():2404] restore
2024-09-28 10:36:25,252 INFO    MainThread:14448 [wandb_run.py:_restore():2410] restore done
2024-09-28 10:36:27,314 INFO    MainThread:14448 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-28 10:36:27,314 INFO    MainThread:14448 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-28 10:36:27,323 INFO    MainThread:14448 [wandb_run.py:_footer_sync_info():3996] logging synced files
