epoch,step,train_loss
0,49,0.06362723559141159
0,99,0.04120175540447235
1,149,0.04587290808558464
1,199,0.03558246046304703
2,249,0.045848023146390915
2,299,0.0297007467597723
3,349,0.04329845309257507
3,399,0.02557426132261753
4,449,0.03969912230968475
4,499,0.021870113909244537
5,549,0.0396733283996582
5,599,0.01887848787009716
6,649,0.035905979573726654
6,699,0.01841205172240734
7,749,0.032732587307691574
7,799,0.019797779619693756
8,849,0.030936159193515778
8,899,0.01856382004916668
9,949,0.030186602845788002
9,999,0.0165547002106905
